row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,profit_margin,order_year
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,united states,Fort Worth,Texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,3,0.8,-3.816,-1.5,2015
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,united states,Madison,Wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,6,0.0,13.3176,0.02,2014
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,united states,West Jordan,Utah,84084,west,OFF-ST-10000107,office supplies,storage,fellowes super stor/drawer,55.5,2,0.0,9.99,0.18,2014
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,united states,San Francisco,California,94109,west,OFF-AR-10003056,office supplies,art,newell 341,8.56,2,0.0,2.4824,0.29,2014
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,united states,San Francisco,California,94109,west,TEC-PH-10001949,technology,phones,cisco spa 501g ip phone,213.48,3,0.2,16.011,0.075,2014
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,united states,San Francisco,California,94109,west,OFF-BI-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,4,0.2,7.384,0.325,2014
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,united states,Fremont,Nebraska,68025,central,OFF-AR-10000246,office supplies,art,newell 318,19.46,7,0.0,5.0596,0.25999999999999995,2016
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,united states,Fremont,Nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34,7,0.0,15.6884,0.25999999999999995,2016
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,united states,Philadelphia,Pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372,2,0.3,-1.0196,-0.014285714285714287,2017
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,united states,Orem,Utah,84057,west,FUR-TA-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,3,0.0,240.2649,0.22999999999999998,2015
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,united states,Los Angeles,California,90049,west,OFF-BI-10001634,office supplies,binders,wilson jones active use binders,11.648,2,0.2,4.2224,0.36250000000000004,2016
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,united states,Los Angeles,California,90049,west,TEC-AC-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,3,0.0,11.7741,0.13,2016
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,FUR-BO-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,7,0.5,-1665.0522,-0.54,2015
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,2,0.7,-7.0532,-0.7333333333333334,2015
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,FUR-FU-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,3,0.2,15.525,0.125,2015
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,poly string tie envelopes,3.264,2,0.2,1.1016,0.3375,2015
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,OFF-AR-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,6,0.2,9.7092,0.11249999999999999,2015
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,OFF-BI-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,6,0.7,-5.715,-0.8333333333333334,2015
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,united states,Philadelphia,Pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,lumber crayons,15.76,2,0.2,3.546,0.22499999999999998,2015
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,united states,Houston,Texas,77095,central,OFF-PA-10000249,office supplies,paper,easy-staple paper,29.472,3,0.2,9.9468,0.33749999999999997,2017
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,united states,Richardson,Texas,75080,central,TEC-PH-10004977,technology,phones,ge 30524ee4,1097.544,7,0.2,123.4737,0.11249999999999999,2016
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,united states,Richardson,Texas,75080,central,FUR-FU-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,5,0.6,-147.963,-0.775,2016
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,united states,Houston,Texas,77041,central,OFF-EN-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,9,0.2,35.415,0.3125,2015
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,united states,Houston,Texas,77041,central,FUR-BO-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,3,0.32,-46.9764,-0.08823529411764706,2015
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,united states,Houston,Texas,77041,central,FUR-CH-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058,3,0.3,-15.147,-0.07142857142857144,2015
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,united states,Houston,Texas,77041,central,TEC-PH-10000486,technology,phones,plantronics hl10 handset lifter,371.168,4,0.2,41.7564,0.1125,2015
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,united states,Naperville,Illinois,60540,central,TEC-PH-10004093,technology,phones,panasonic kx-ts550,147.168,4,0.2,16.5564,0.11249999999999999,2017
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,united states,Los Angeles,California,90049,west,OFF-ST-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,2,0.0,3.894,0.05,2016
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,united states,Melbourne,Florida,32935,south,OFF-ST-10003282,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,2,0.2,9.5616,0.1,2017
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,united states,Eagan,Minnesota,55122,central,TEC-AC-10000171,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,2,0.0,19.7714,0.43000000000000005,2016
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,united states,Eagan,Minnesota,55122,central,OFF-BI-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,2,0.0,8.2062,0.47000000000000003,2016
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,united states,Westland,Michigan,48185,central,OFF-ST-10001713,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,4,0.0,8.4784,0.04,2014
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,united states,Dover,Delaware,19901,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,3,0.0,4.95,0.11,2016
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,united states,Dover,Delaware,19901,east,TEC-PH-10003988,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,2,0.0,6.104,0.27999999999999997,2016
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,united states,New Albany,Indiana,47150,central,OFF-BI-10004410,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,6,0.0,17.9634,0.47000000000000003,2015
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,united states,New Albany,Indiana,47150,central,OFF-LA-10002762,office supplies,labels,avery 485,75.18,6,0.0,35.3346,0.47,2015
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,united states,New Albany,Indiana,47150,central,FUR-FU-10001706,furniture,furnishings,longer-life soft white bulbs,6.16,2,0.0,2.9568,0.48,2015
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,united states,New Albany,Indiana,47150,central,FUR-CH-10003061,furniture,chairs,"global leather task chair, black",89.99,1,0.0,17.0981,0.19,2015
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,united states,New York City,New York,10024,east,OFF-FA-10000304,office supplies,fasteners,advantus push pins,15.26,7,0.0,6.2566,0.41,2016
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,united states,New York City,New York,10024,east,TEC-PH-10002447,technology,phones,at&t cl83451 4-handset telephone,1029.95,5,0.0,298.6855,0.29,2016
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,OFF-ST-10000604,office supplies,storage,home/office personal file carts,208.56,6,0.0,52.14,0.25,2016
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,OFF-PA-10001569,office supplies,paper,xerox 232,32.4,5,0.0,15.552,0.48,2016
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,FUR-CH-10003968,furniture,chairs,novimex turbo task chair,319.41,5,0.1,7.098,0.02222222222222222,2016
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,OFF-PA-10000587,office supplies,paper,"array parchment paper, assorted colors",14.56,2,0.0,6.9888,0.48,2016
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,2,0.0,3.3,0.11,2016
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,OFF-BI-10001460,office supplies,binders,plastic binding combs,48.48,4,0.2,16.362,0.33749999999999997,2016
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,united states,Troy,New York,12180,east,OFF-AR-10001868,office supplies,art,prang dustless chalk sticks,1.68,1,0.0,0.84,0.5,2016
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,united states,Los Angeles,California,90004,west,TEC-AC-10004633,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,2,0.0,6.1512,0.44,2015
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,united states,Los Angeles,California,90004,west,OFF-BI-10001078,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,6,0.2,9.3612,0.3625,2015
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,united states,Los Angeles,California,90004,west,OFF-PA-10003892,office supplies,paper,xerox 1943,146.73,3,0.0,68.9631,0.47000000000000003,2015
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,united states,Los Angeles,California,90004,west,FUR-FU-10000397,furniture,furnishings,luxo economy swing arm lamp,79.76,4,0.0,22.3328,0.27999999999999997,2015
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,united states,Chicago,Illinois,60610,central,FUR-CH-10001146,furniture,chairs,"global value mid-back manager's chair, gray",213.115,5,0.3,-15.2225,-0.07142857142857142,2015
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,united states,Gilbert,Arizona,85234,west,OFF-AR-10002671,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,8,0.2,111.3024,0.10000000000000002,2014
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,united states,Gilbert,Arizona,85234,west,TEC-PH-10002726,technology,phones,nettalk duo voip telephone service,167.968,4,0.2,62.988,0.375,2014
70,CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,united states,Springfield,Virginia,22153,south,OFF-PA-10000482,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,2,0.0,35.6636,0.4700000000000001,2016
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,united states,New York City,New York,10009,east,OFF-BI-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,1,0.2,1.731,0.37500000000000006,2016
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,united states,Jackson,Michigan,49201,central,OFF-PA-10004675,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,0.45999999999999996,2017
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,united states,Memphis,Tennessee,38109,south,FUR-CH-10000513,furniture,chairs,high-back leather manager's chair,831.936,8,0.2,-114.3912,-0.13749999999999998,2015
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,united states,Memphis,Tennessee,38109,south,FUR-FU-10003708,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,2,0.2,1.213,0.0125,2015
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,united states,Memphis,Tennessee,38109,south,OFF-ST-10004123,office supplies,storage,safco industrial wire shelving system,72.784,1,0.2,-18.196,-0.25,2015
76,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,united states,Houston,Texas,77041,central,OFF-BI-10004182,office supplies,binders,economy binders,1.248,3,0.8,-1.9344,-1.5499999999999998,2017
77,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,united states,Houston,Texas,77041,central,FUR-FU-10000260,furniture,furnishings,"6"" cubicle wall clock, black",9.708,3,0.6,-5.8248,-0.6,2017
78,US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,united states,Houston,Texas,77041,central,OFF-ST-10000615,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,0.10000000000000002,2017
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,united states,Houston,Texas,77070,central,FUR-FU-10003194,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,5,0.6,-14.475,-0.75,2014
80,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,united states,Decatur,Alabama,35601,south,OFF-AP-10002118,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,1,0.0,56.2032,0.27,2016
81,CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,united states,Decatur,Alabama,35601,south,OFF-BI-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,3,0.0,8.0352,0.48000000000000004,2016
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,united states,San Francisco,California,94122,west,OFF-AR-10002053,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,5,0.0,4.172,0.27999999999999997,2014
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,united states,San Francisco,California,94122,west,OFF-ST-10002370,office supplies,storage,"sortfiler multipurpose personal file organizer, black",21.39,1,0.0,6.2031,0.29,2014
84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,united states,Durham,North Carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,7,0.2,62.8075,0.3125,2015
85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,united states,Chicago,Illinois,60623,central,OFF-ST-10003656,office supplies,storage,safco industrial wire shelving,230.376,3,0.2,-48.9549,-0.2125,2017
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,united states,Columbia,South Carolina,29203,south,FUR-CH-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,2,0.0,33.2156,0.11000000000000001,2017
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,united states,Rochester,Minnesota,55901,central,TEC-AC-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,1,0.0,6.7966,0.34,2017
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,united states,Rochester,Minnesota,55901,central,OFF-LA-10000134,office supplies,labels,avery 511,6.16,2,0.0,2.9568,0.48,2017
89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,united states,Houston,Texas,77095,central,OFF-ST-10003442,office supplies,storage,eldon portable mobile manager,158.368,7,0.2,13.8572,0.08750000000000001,2016
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,united states,Los Angeles,California,90036,west,OFF-AR-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,3,0.0,6.633,0.32999999999999996,2016
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,united states,Los Angeles,California,90036,west,TEC-PH-10004093,technology,phones,panasonic kx-ts550,73.584,2,0.2,8.2782,0.11249999999999999,2016
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,united states,Los Angeles,California,90036,west,OFF-PA-10000304,office supplies,paper,xerox 1995,6.48,1,0.0,3.1104,0.4799999999999999,2016
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,united states,Minneapolis,Minnesota,55407,central,OFF-PA-10003177,office supplies,paper,xerox 1999,12.96,2,0.0,6.2208,0.4799999999999999,2015
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,united states,Minneapolis,Minnesota,55407,central,FUR-FU-10003799,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,3,0.0,16.5354,0.30999999999999994,2015
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,united states,Minneapolis,Minnesota,55407,central,OFF-BI-10002852,office supplies,binders,ibico standard transparent covers,32.96,2,0.0,16.1504,0.49000000000000005,2015
96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,united states,Portland,Oregon,97206,west,OFF-BI-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,1,0.7,-3.788,-0.6666666666666666,2017
97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Parhena Norris,Home Office,united states,New York City,New York,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,7,0.0,40.5426,0.42,2017
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Katherine Ducich,Consumer,united states,San Francisco,California,94122,west,OFF-BI-10001721,office supplies,binders,trimflex flexible post binders,51.312,3,0.2,17.9592,0.35,2017
99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,united states,Saint Paul,Minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,6,0.0,22.5852,0.29000000000000004,2016
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,united states,Chicago,Illinois,60610,central,OFF-PA-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,7,0.2,22.6184,0.35000000000000003,2016
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,united states,Chicago,Illinois,60610,central,TEC-AC-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,3,0.2,-10.7973,-0.1125,2016
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,united states,Chicago,Illinois,60610,central,OFF-BI-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,3,0.8,-3.0396,-1.7,2016
103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,united states,Rochester,Minnesota,55901,central,OFF-PA-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,4,0.0,11.7208,0.49,2016
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,united states,Aurora,Colorado,80013,west,TEC-AC-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,6,0.2,-26.8758,-0.11250000000000002,2015
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,united states,Aurora,Colorado,80013,west,FUR-FU-10004006,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,3,0.2,-3.8385,-0.0375,2015
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,united states,Aurora,Colorado,80013,west,OFF-BI-10002794,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,3,0.7,-25.8174,-0.7000000000000001,2015
